;duracion_sistema;barcos_servidos;tasa_llegada_dias;gruas;rendimiento;ciclo
0;5284,280522459011;[10];30,0;1;25;0
1;5842,782102349972;[10];30,0;1;25;1
2;8876,591149460352;[10];30,0;1;25;2
3;5436,250851390158;[10];30,0;1;25;3
4;6398,294197738231;[10];30,0;1;25;4
5;3491,8380347724274;[10];30,0;1;25;5
6;6703,786487240251;[10];30,0;1;25;6
7;3527,4312330902003;[10];30,0;1;25;7
8;11736,515465269451;[10];30,0;1;25;8
9;10046,183589451472;[10];30,0;1;25;9
10;7852,251657074983;[10];30,0;1;25;10
11;6384,639557732781;[10];30,0;1;25;11
12;6856,807915033375;[10];30,0;1;25;12
13;3531,8346968630563;[10];30,0;1;25;13
14;8318,5114908538;[10];30,0;1;25;14
15;5170,511928867129;[10];30,0;1;25;15
16;8453,742721527306;[10];30,0;1;25;16
17;5194,517505596914;[10];30,0;1;25;17
18;4839,324480865651;[10];30,0;1;25;18
19;5453,937749361254;[10];30,0;1;25;19
20;6560,3161142679;[10];30,0;1;25;20
21;6673,947235821357;[10];30,0;1;25;21
22;6790,056833594647;[10];30,0;1;25;22
23;6206,838525303466;[10];30,0;1;25;23
24;5360,75096608331;[10];30,0;1;25;24
25;3794,2640962967216;[10];30,0;1;25;25
26;4093,254462118833;[10];30,0;1;25;26
27;4122,311278024773;[10];30,0;1;25;27
28;7633,438625675424;[10];30,0;1;25;28
29;5531,527492292287;[10];30,0;1;25;29
30;10038,925449644126;[10];30,0;1;25;30
31;8332,2635597213;[10];30,0;1;25;31
32;6375,236772654023;[10];30,0;1;25;32
33;3501,0842207330343;[10];30,0;1;25;33
34;8803,870821984588;[10];30,0;1;25;34
35;6285,811917477867;[10];30,0;1;25;35
36;6899,906024729148;[10];30,0;1;25;36
37;8077,214970678605;[10];30,0;1;25;37
38;9037,917661888709;[10];30,0;1;25;38
39;6365,92158148444;[10];30,0;1;25;39
40;10763,237274190591;[10];30,0;1;25;40
41;7437,530100142709;[10];30,0;1;25;41
42;7958,816037895175;[10];30,0;1;25;42
43;6231,233359180108;[10];30,0;1;25;43
44;4833,21330353826;[10];30,0;1;25;44
45;4757,333331657566;[10];30,0;1;25;45
46;4574,84036961945;[10];30,0;1;25;46
47;3985,9477781866726;[10];30,0;1;25;47
48;7490,942704161671;[10];30,0;1;25;48
49;6913,168721305938;[10];30,0;1;25;49
50;7458,2522715359355;[10];30,0;1;25;50
51;6727,516066867037;[10];30,0;1;25;51
52;5886,127872913587;[10];30,0;1;25;52
53;3803,7590954000084;[10];30,0;1;25;53
54;4306,792878791536;[10];30,0;1;25;54
55;6692,816880795558;[10];30,0;1;25;55
56;5658,425561186156;[10];30,0;1;25;56
57;5561,798791759435;[10];30,0;1;25;57
58;8845,730465316552;[10];30,0;1;25;58
59;6000,344980412791;[10];30,0;1;25;59
60;9185,285028395407;[10];30,0;1;25;60
61;5591,55216062901;[10];30,0;1;25;61
62;6043,307062996899;[10];30,0;1;25;62
63;8945,25162798403;[10];30,0;1;25;63
64;8070,619223366476;[10];30,0;1;25;64
65;4957,460954960506;[10];30,0;1;25;65
66;4884,958997859295;[10];30,0;1;25;66
67;5920,952665533266;[10];30,0;1;25;67
68;4254,431793693066;[10];30,0;1;25;68
69;7200,9687295029635;[10];30,0;1;25;69
70;9776,67182160709;[10];30,0;1;25;70
71;8264,917729843886;[10];30,0;1;25;71
72;8296,937786735387;[10];30,0;1;25;72
73;4990,479134918472;[10];30,0;1;25;73
74;5797,667111355048;[10];30,0;1;25;74
75;5429,216156663255;[10];30,0;1;25;75
76;3677,5280102651946;[10];30,0;1;25;76
77;5413,09993583577;[10];30,0;1;25;77
78;2811,557308716814;[10];30,0;1;25;78
79;3452,2176148370627;[10];30,0;1;25;79
80;5224,068482510721;[10];30,0;1;25;80
81;4475,364060462019;[10];30,0;1;25;81
82;3967,625689633379;[10];30,0;1;25;82
83;9280,200174271902;[10];30,0;1;25;83
84;7717,316442651148;[10];30,0;1;25;84
85;4681,507709866716;[10];30,0;1;25;85
86;2949,859440412955;[10];30,0;1;25;86
87;10002,245723525397;[10];30,0;1;25;87
88;4431,156220604641;[10];30,0;1;25;88
89;4661,855261511884;[10];30,0;1;25;89
90;3537,5905259503656;[10];30,0;1;25;90
91;2390,428142225851;[10];30,0;1;25;91
92;4909,601034524838;[10];30,0;1;25;92
93;5364,9889704794405;[10];30,0;1;25;93
94;9476,771108284509;[10];30,0;1;25;94
95;8718,549418453433;[10];30,0;1;25;95
96;4121,78197689923;[10];30,0;1;25;96
97;7138,935711835787;[10];30,0;1;25;97
98;7931,731808273864;[10];30,0;1;25;98
99;5895,647514172738;[10];30,0;1;25;99
100;8497,857513783507;[10];30,0;1;25;100
101;5253,115305730694;[10];30,0;1;25;101
102;6156,922810076819;[10];30,0;1;25;102
103;7638,773684208773;[10];30,0;1;25;103
104;12694,599889494648;[10];30,0;1;25;104
105;4932,037947358464;[10];30,0;1;25;105
106;4333,40251925664;[10];30,0;1;25;106
107;4075,5072317748454;[10];30,0;1;25;107
108;14327,8585492571;[10];30,0;1;25;108
109;6992,4877289005;[10];30,0;1;25;109
110;9273,309888678752;[10];30,0;1;25;110
111;4346,560920283475;[10];30,0;1;25;111
112;7940,921423480903;[10];30,0;1;25;112
113;3844,308531648354;[10];30,0;1;25;113
114;8299,595554872463;[10];30,0;1;25;114
115;4255,485756808998;[10];30,0;1;25;115
116;4230,040545458388;[10];30,0;1;25;116
117;3526,6767199961055;[10];30,0;1;25;117
118;3934,4911070360445;[10];30,0;1;25;118
119;7837,5568093918255;[10];30,0;1;25;119
120;4728,317955022237;[10];30,0;1;25;120
121;9765,336692713718;[10];30,0;1;25;121
122;5988,596412972145;[10];30,0;1;25;122
123;5542,600657556893;[10];30,0;1;25;123
124;3161,317184027127;[10];30,0;1;25;124
125;4563,044024334657;[10];30,0;1;25;125
126;8626,511632448162;[10];30,0;1;25;126
127;4905,37843723865;[10];30,0;1;25;127
128;5495,515716174498;[10];30,0;1;25;128
129;6528,546754424915;[10];30,0;1;25;129
130;6165,081776515266;[10];30,0;1;25;130
131;6612,309510353241;[10];30,0;1;25;131
132;7923,911208693541;[10];30,0;1;25;132
133;6058,816082815226;[10];30,0;1;25;133
134;4279,215096715733;[10];30,0;1;25;134
135;9241,766437488328;[10];30,0;1;25;135
136;6163,744420675373;[10];30,0;1;25;136
137;9001,756358275028;[10];30,0;1;25;137
138;7783,697645878078;[10];30,0;1;25;138
139;4038,015685485206;[10];30,0;1;25;139
140;7496,897827568306;[10];30,0;1;25;140
141;5600,801861397349;[10];30,0;1;25;141
142;7834,476944038268;[10];30,0;1;25;142
143;10197,96952305758;[10];30,0;1;25;143
144;7019,569347273492;[10];30,0;1;25;144
145;8189,118979957827;[10];30,0;1;25;145
146;8259,965677387923;[10];30,0;1;25;146
147;4693,305085517495;[10];30,0;1;25;147
148;7379,7024541441315;[10];30,0;1;25;148
149;3219,001971954808;[10];30,0;1;25;149
150;6192,043610770683;[10];30,0;1;25;150
151;3394,3389427451007;[10];30,0;1;25;151
152;5412,174922705334;[10];30,0;1;25;152
153;1922,9991340922002;[10];30,0;1;25;153
154;7131,573151875472;[10];30,0;1;25;154
155;5452,795482556665;[10];30,0;1;25;155
156;9561,55109718381;[10];30,0;1;25;156
157;3256,0917401293423;[10];30,0;1;25;157
158;6972,658482141918;[10];30,0;1;25;158
159;6160,630196838154;[10];30,0;1;25;159
160;6623,847659572523;[10];30,0;1;25;160
161;5053,219907864145;[10];30,0;1;25;161
162;2550,9950570468427;[10];30,0;1;25;162
163;4203,301158793224;[10];30,0;1;25;163
164;10459,112213527129;[10];30,0;1;25;164
165;4756,409056977421;[10];30,0;1;25;165
166;10782,171191828522;[10];30,0;1;25;166
167;5694,442245175242;[10];30,0;1;25;167
168;9164,05627515584;[10];30,0;1;25;168
169;9018,000599895508;[10];30,0;1;25;169
170;3931,492299996286;[10];30,0;1;25;170
171;9843,028842910373;[10];30,0;1;25;171
172;5872,895887724138;[10];30,0;1;25;172
173;6059,047651253125;[10];30,0;1;25;173
174;8013,144092568911;[10];30,0;1;25;174
175;5210,708795547462;[10];30,0;1;25;175
176;4899,834000817691;[10];30,0;1;25;176
177;8984,18725659353;[10];30,0;1;25;177
178;5991,40976199658;[10];30,0;1;25;178
179;3402,0965499140784;[10];30,0;1;25;179
180;4585,006905152288;[10];30,0;1;25;180
181;6589,6189758741075;[10];30,0;1;25;181
182;8337,73333414653;[10];30,0;1;25;182
183;6805,3577961673245;[10];30,0;1;25;183
184;6651,445799017429;[10];30,0;1;25;184
185;9673,485176236449;[10];30,0;1;25;185
186;8965,417250988714;[10];30,0;1;25;186
187;6599,545628870915;[10];30,0;1;25;187
188;3529,6781915496426;[10];30,0;1;25;188
189;2758,4597703270288;[10];30,0;1;25;189
190;9220,6603460439;[10];30,0;1;25;190
191;7681,047601972384;[10];30,0;1;25;191
192;7559,813203868454;[10];30,0;1;25;192
193;4846,35812847033;[10];30,0;1;25;193
194;3116,511123886128;[10];30,0;1;25;194
195;7142,568146033666;[10];30,0;1;25;195
196;7372,822820348064;[10];30,0;1;25;196
197;8547,708904544395;[10];30,0;1;25;197
198;7072,579004734404;[10];30,0;1;25;198
199;5689,96897076741;[10];30,0;1;25;199
200;7858,640636158445;[10];30,0;1;25;200
201;6343,445381792758;[10];30,0;1;25;201
202;4132,24676979161;[10];30,0;1;25;202
203;6904,509704520681;[10];30,0;1;25;203
204;10831,281644603972;[10];30,0;1;25;204
205;2872,7788366590194;[10];30,0;1;25;205
206;6163,062050170708;[10];30,0;1;25;206
207;7799,374527266533;[10];30,0;1;25;207
208;3743,4409791697967;[10];30,0;1;25;208
209;6359,743798847363;[10];30,0;1;25;209
210;5481,041368133554;[10];30,0;1;25;210
211;8809,41036950244;[10];30,0;1;25;211
212;1876,1504241001708;[10];30,0;1;25;212
213;7606,236405620964;[10];30,0;1;25;213
214;6521,6548690590525;[10];30,0;1;25;214
215;7964,609552828745;[10];30,0;1;25;215
216;4331,596447375401;[10];30,0;1;25;216
217;7553,2842020255575;[10];30,0;1;25;217
218;4308,889665682705;[10];30,0;1;25;218
219;6938,463756849152;[10];30,0;1;25;219
220;4167,391643185417;[10];30,0;1;25;220
221;7500,674646321623;[10];30,0;1;25;221
222;5828,352226024283;[10];30,0;1;25;222
223;6655,699971359637;[10];30,0;1;25;223
224;3427,7795239702928;[10];30,0;1;25;224
225;3195,687997943783;[10];30,0;1;25;225
226;5201,68505353417;[10];30,0;1;25;226
227;5817,635363087893;[10];30,0;1;25;227
228;5229,093079050885;[10];30,0;1;25;228
229;4074,864782223733;[10];30,0;1;25;229
230;5095,730934940495;[10];30,0;1;25;230
231;7583,603423777017;[10];30,0;1;25;231
232;5309,9149541978895;[10];30,0;1;25;232
233;5437,40200655651;[10];30,0;1;25;233
234;3799,457456880689;[10];30,0;1;25;234
235;4196,857577902421;[10];30,0;1;25;235
236;7052,182088977576;[10];30,0;1;25;236
237;5085,856525645078;[10];30,0;1;25;237
238;3525,641040985394;[10];30,0;1;25;238
239;5107,1731136616545;[10];30,0;1;25;239
240;7307,244377611329;[10];30,0;1;25;240
241;8163,773797243313;[10];30,0;1;25;241
242;2949,2225152178985;[10];30,0;1;25;242
243;9653,846592957838;[10];30,0;1;25;243
244;7406,45375455558;[10];30,0;1;25;244
245;10425,787061554756;[10];30,0;1;25;245
246;7355,467733209295;[10];30,0;1;25;246
247;6034,798301524525;[10];30,0;1;25;247
248;5366,2158846862985;[10];30,0;1;25;248
249;7489,175741854801;[10];30,0;1;25;249
250;3753,0373598315223;[10];30,0;1;25;250
251;5858,346081469591;[10];30,0;1;25;251
252;1948,7610682258116;[10];30,0;1;25;252
253;6253,335566038427;[10];30,0;1;25;253
254;10479,694919691408;[10];30,0;1;25;254
255;5170,56620014478;[10];30,0;1;25;255
256;8741,327224775237;[10];30,0;1;25;256
257;5346,5004306967285;[10];30,0;1;25;257
258;7055,2198308040615;[10];30,0;1;25;258
259;6978,048782448431;[10];30,0;1;25;259
260;8100,829237561251;[10];30,0;1;25;260
261;10179,609338915343;[10];30,0;1;25;261
262;8640,16683713223;[10];30,0;1;25;262
263;10472,748094985736;[10];30,0;1;25;263
264;5350,793078914318;[10];30,0;1;25;264
265;9651,886007108586;[10];30,0;1;25;265
266;5942,247277406929;[10];30,0;1;25;266
267;8693,134055323639;[10];30,0;1;25;267
268;7875,254785554118;[10];30,0;1;25;268
269;2212,465120162605;[10];30,0;1;25;269
270;6949,279631472727;[10];30,0;1;25;270
271;7038,112675926707;[10];30,0;1;25;271
272;10916,883427370576;[10];30,0;1;25;272
273;6190,1115484402;[10];30,0;1;25;273
274;5446,770050888812;[10];30,0;1;25;274
275;9050,06853257414;[10];30,0;1;25;275
276;3552,5738149107224;[10];30,0;1;25;276
277;7715,238002782511;[10];30,0;1;25;277
278;9168,8136483731;[10];30,0;1;25;278
279;8079,604495694229;[10];30,0;1;25;279
280;9616,67514092069;[10];30,0;1;25;280
281;8873,675871300376;[10];30,0;1;25;281
282;6380,142519397209;[10];30,0;1;25;282
283;6204,4329863365165;[10];30,0;1;25;283
284;7568,550830443571;[10];30,0;1;25;284
285;5936,024831782224;[10];30,0;1;25;285
286;7231,463577401471;[10];30,0;1;25;286
287;8789,198689301575;[10];30,0;1;25;287
288;7125,144414014977;[10];30,0;1;25;288
289;5250,789946584262;[10];30,0;1;25;289
290;4416,277163755649;[10];30,0;1;25;290
