;id;llegada(ts);hora_navegacion_inicio(ts);tiempo_navegacion;inicio_servicio(ts);fin_servicio(ts);tiempo_espera;tiempo_servicio;tiempo_ocioso;tiempo_total_operacion;peso_total_operado;peso_x_hora;clases_contenedores;contenedores_carga;contenedores_descarga;contenedores_total;proporcion_carga;medio_llenos;peso_medio_llenos_total;peso_x_hora_medio_lleno;proporcion_medio_llenos;reparacion;buque_espero_T_F;grua_ocioso_T_F;ciclo
0;1;0,0;0,0;0,6231594661117763;0,27519110188622553;37,19519110188623;0,0;36,92;0,0;37,19519110188623;9631,0;260,86;{np.str_('pesado'): 0.33, np.str_('mediano'): 0.33, np.str_('liviano'): 0.33};205;718;923;0,22;284;1752,0;70,08;0,31;0;False;False;0
1;2;655,0015859151264;655,0015859151264;0,8210892270475479;655,3926517097829;687,1526517097828;0,0;31,76;617,8063948132401;32,15106579465646;8461,0;266,4;{np.str_('mediano'): 0.33, np.str_('liviano'): 0.32, np.str_('pesado'): 0.34};180;614;794;0,23;225;1423,0;56,92;0,28;0;False;True;0
2;3;685,967940621156;685,967940621156;0,6427805968310085;686,3055458780484;726,2980009145313;0,0;39,99245503648289;648,7727495192697;40,330060293375254;8929,0;271,56;{np.str_('liviano'): 0.33, np.str_('mediano'): 0.32, np.str_('pesado'): 0.34};137;685;822;0,17;222;1258,0;50,32;0,27;1;False;True;0
3;4;803,25390119958;803,25390119958;0,5515865797431958;803,6141741850622;829,2541741850622;0,0;25,64;76,95590028504876;26,000272985482184;6772,0;264,12;{np.str_('liviano'): 0.31, np.str_('mediano'): 0.35, np.str_('pesado'): 0.34};381;260;641;0,59;199;1240,0;49,6;0,31;0;False;True;0
4;5;934,4007548208982;934,4007548208982;0,6126216874614603;934,6532602739829;989,493260273983;0,0;54,84;105,14658063583602;55,092505453084755;14237,0;259,61;{np.str_('liviano'): 0.33, np.str_('mediano'): 0.35, np.str_('pesado'): 0.32};506;865;1371;0,37;417;2604,0;104,16;0,3;0;False;True;0
5;6;1536,8177479505075;1536,8177479505075;0,43557548072319496;1537,0710830920268;1568,3110830920268;0,0;31,24;547,3244876765245;31,49333514151931;8198,5;262,44;{np.str_('mediano'): 0.32, np.str_('liviano'): 0.33, np.str_('pesado'): 0.34};461;320;781;0,59;235;1489,5;59,58;0,3;0;False;True;0
6;7;2430,1663337057425;2430,1663337057425;0,7306167633929437;2430,547658907015;2478,7876589070147;0,0;48,24;861,8552506137157;48,62132520127216;13113,0;271,83;{np.str_('pesado'): 0.35, np.str_('liviano'): 0.29, np.str_('mediano'): 0.35};393;813;1206;0,33;351;2197,0;87,88;0,29;0;False;True;0
7;8;2763,2485755921007;2763,2485755921007;0,83918050192775;2763,658433786665;2790,7784337866647;0,0;27,12;284,460916685086;27,529858194563985;6992,5;257,84;{np.str_('pesado'): 0.31, np.str_('mediano'): 0.34, np.str_('liviano'): 0.35};122;556;678;0,18;196;1179,5;47,18;0,29;0;False;True;0
8;9;2797,485611981117;2797,485611981117;0,8014574225349833;2797,868702119083;2827,0493333007644;0,0;29,180631181681385;6,707178194452354;29,563721319647357;5447,0;254,53;{np.str_('liviano'): 0.32, np.str_('mediano'): 0.38, np.str_('pesado'): 0.29};123;412;535;0,23;170;1034,0;41,36;0,32;1;False;True;0
9;10;2903,3807280881288;2903,3807280881288;0,6070469187491694;2903,7085714512727;2933,9485714512725;0,0;30,24;76,33139478736439;30,567843363143766;7877,5;260,5;{np.str_('pesado'): 0.32, np.str_('mediano'): 0.35, np.str_('liviano'): 0.32};328;428;756;0,43;246;1438,5;57,54;0,33;0;False;True;0
10;1;0,0;0,0;0,9831230052265261;0,49149783812400055;39,85454865110708;0,0;39,36305081298308;0,0;39,85454865110708;9101,5;260,94;{np.str_('mediano'): 0.34, np.str_('liviano'): 0.32, np.str_('pesado'): 0.34};124;748;872;0,14;272;1735,5;69,42;0,31;1;False;False;1
11;2;625,1821968813438;625,1821968813438;0,8545075320414053;625,5746233508129;670,3746233508128;0,0;44,8;585,3276482302367;45,19242646946907;11757,5;262,44;{np.str_('liviano'): 0.33, np.str_('pesado'): 0.32, np.str_('mediano'): 0.34};443;677;1120;0,4;322;1971,5;78,86;0,29;0;False;True;1
12;3;915,6448077579173;915,6448077579173;0,8557663457816083;916,0168115750972;942,5768115750972;0,0;26,56;245,27018440710447;26,93200381717986;7033,5;264,82;{np.str_('pesado'): 0.33, np.str_('liviano'): 0.32, np.str_('mediano'): 0.36};464;200;664;0,7;190;1186,5;47,46;0,29;0;False;True;1
13;4;1800,6574936547509;1800,6574936547509;0,7493068676279597;1800,9351476721897;1860,0151476721896;0,0;59,08;858,0806820796537;59,35765401743879;15576,5;263,65;{np.str_('mediano'): 0.33, np.str_('liviano'): 0.34, np.str_('pesado'): 0.33};594;883;1477;0,4;430;2600,5;104,02;0,29;0;False;True;1
14;5;1906,1249682516716;1906,1249682516716;0,6451764532620989;1906,4796258265487;1949,5196258265487;0,0;43,04;46,10982057948195;43,3946575748771;11027,0;256,2;{np.str_('mediano'): 0.3, np.str_('liviano'): 0.35, np.str_('pesado'): 0.36};405;671;1076;0,38;356;2303,0;92,12;0,33;0;False;True;1
15;6;3067,158635024248;3067,158635024248;0,7897697152280009;3067,6180578738376;3125,7311797895186;0,0;58,11312191568104;1117,6390091976991;58,57254476527078;14818,0;262,73;{np.str_('mediano'): 0.32, np.str_('liviano'): 0.33, np.str_('pesado'): 0.35};547;863;1410;0,39;425;2698,0;107,92;0,3;1;False;True;1
16;7;4222,183818914117;4222,183818914117;0,7191115995174727;4222,658847458216;4262,418847458216;0,0;39,76;1096,4526391245986;40,235028544098896;10472,0;263,38;{np.str_('liviano'): 0.33, np.str_('pesado'): 0.36, np.str_('mediano'): 0.31};330;664;994;0,33;311;1994,0;79,76;0,31;0;False;True;1
17;8;6059,541148701915;6059,541148701915;0,8698279352313378;6060,001542655904;6088,521542655904;0,0;28,52;1797,1223012436985;28,980393953989733;7695,5;269,83;{np.str_('mediano'): 0.33, np.str_('liviano'): 0.31, np.str_('pesado'): 0.36};265;448;713;0,37;210;1354,5;54,18;0,29;0;False;True;1
18;9;7048,253194883619;7048,253194883619;0,6896021514685893;7048,572929110932;7086,372929110932;0,0;37,8;959,7316522277142;38,11973422731353;9936,5;262,87;{np.str_('pesado'): 0.35, np.str_('mediano'): 0.3, np.str_('liviano'): 0.35};279;666;945;0,3;278;1734,5;69,38;0,29;0;False;True;1
19;10;9581,295402959495;9581,295402959495;0,7252403506693473;9581,59097135501;9620,87097135501;0,0;39,28;2494,9224738485627;39,5755683955158;10051,0;255,88;{np.str_('mediano'): 0.35, np.str_('liviano'): 0.35, np.str_('pesado'): 0.3};197;785;982;0,2;285;1747,0;69,88;0,29;0;False;True;1
20;1;0,0;0,0;0,5153219991719942;0,2610672735134703;58,762935906311725;0,0;58,501868632798256;0,0;58,762935906311725;12987,0;256,86;{np.str_('mediano'): 0.32, np.str_('liviano'): 0.35, np.str_('pesado'): 0.33};455;809;1264;0,36;413;2500,0;100,0;0,33;1;False;False;2
21;2;349,8926948126955;349,8926948126955;0,5856186422605543;350,2362277210289;404,2362277210289;0,0;54,0;291,12975890638376;54,34353290833343;14527,5;269,03;{np.str_('pesado'): 0.35, np.str_('mediano'): 0.33, np.str_('liviano'): 0.32};482;868;1350;0,36;392;2436,5;97,46;0,29;0;False;True;2
22;3;492,51979481267057;492,51979481267057;0,7653673078641979;492,91415322440656;559,3541532244066;0,0;66,44;88,28356709164166;66,83435841173599;17236,0;259,42;{np.str_('liviano'): 0.34, np.str_('pesado'): 0.33, np.str_('mediano'): 0.34};535;1126;1661;0,32;518;3169,0;126,76;0,31;0;False;True;2
23;4;677,9230093885296;677,9230093885296;0,8340862478674812;678,3318177357496;723,2918177357496;0,0;44,96;118,56885616412308;45,36880834722001;11507,5;255,95;{np.str_('liviano'): 0.35, np.str_('pesado'): 0.31, np.str_('mediano'): 0.33};443;681;1124;0,39;331;2068,5;82,74;0,29;0;False;True;2
24;5;1249,9572911523574;1249,9572911523574;0,7062408823494719;1250,3756516880678;1314,2156516880677;0,0;63,84;526,6654734166077;64,25836053571038;16683,0;261,33;{np.str_('mediano'): 0.34, np.str_('pesado'): 0.33, np.str_('liviano'): 0.33};431;1165;1596;0,27;467;2904,0;116,16;0,29;0;False;True;2
25;6;1855,3394302124766;1855,3394302124766;0,7350107042764381;1855,7653230817073;1921,9653230817073;0,0;66,2;541,1237785244089;66,62589286923071;17456,5;263,69;{np.str_('mediano'): 0.34, np.str_('pesado'): 0.33, np.str_('liviano'): 0.33};484;1171;1655;0,29;483;2979,5;119,18;0,29;0;False;True;2
26;7;2632,6539028630154;2632,6539028630154;0,862176276926933;2633,081357918991;2679,5213579189913;0,0;46,44;710,6885797813081;46,867455055975825;12025,5;258,95;{np.str_('liviano'): 0.34, np.str_('mediano'): 0.35, np.str_('pesado'): 0.31};178;983;1161;0,15;344;2109,5;84,38;0,3;0;False;True;2
27;8;5109,798269872323;5109,798269872323;0,6276415419689725;5110,061625059742;5143,501625059742;0,0;33,44;2430,2769119533314;33,70335518741922;8827,0;263,97;{np.str_('liviano'): 0.32, np.str_('pesado'): 0.33, np.str_('mediano'): 0.35};192;644;836;0,23;247;1537,0;61,48;0,3;0;False;True;2
28;9;5697,911242983968;5697,911242983968;0,733368252329911;5698,276862520441;5735,823006610365;0,0;37,546144089924496;554,409617924226;37,91176362639726;9259,5;256,92;{np.str_('pesado'): 0.33, np.str_('mediano'): 0.32, np.str_('liviano'): 0.35};247;654;901;0,27;278;1696,5;67,86;0,31;1;False;True;2
29;10;6693,182218916565;6693,182218916565;0,8634828622453168;6693,6068398558755;6734,966839855875;0,0;41,36;957,3592123061999;41,784620939310116;11052,5;267,23;{np.str_('mediano'): 0.35, np.str_('pesado'): 0.34, np.str_('liviano'): 0.31};271;763;1034;0,26;312;1873,5;74,94;0,3;0;False;True;2
30;1;0,0;0,0;0,8490742887861469;0,4374488949028827;69,28049763317811;0,0;68,84304873827523;0,0;69,28049763317811;17291,5;263,27;{np.str_('liviano'): 0.33, np.str_('mediano'): 0.34, np.str_('pesado'): 0.33};469;1173;1642;0,29;493;3003,5;120,14;0,3;1;False;False;3
