;duracion_sistema;barcos_servidos;tasa_llegada_dias;gruas;rendimiento;ciclo
0;2933,9485714512725;[10];30,0;2;25;0
1;9620,87097135501;[10];30,0;2;25;1
2;6734,966839855875;[10];30,0;2;25;2
3;5628,160188645533;[10];30,0;2;25;3
4;8456,284656565806;[10];30,0;2;25;4
5;5480,344119845693;[10];30,0;2;25;5
6;7774,680272356378;[10];30,0;2;25;6
7;4198,32670636426;[10];30,0;2;25;7
8;4205,622832187981;[10];30,0;2;25;8
9;3534,484735511429;[10];30,0;2;25;9
10;4322,779806523193;[10];30,0;2;25;10
11;4392,612212082704;[10];30,0;2;25;11
12;4882,219677840359;[10];30,0;2;25;12
13;7001,568254784502;[10];30,0;2;25;13
14;6948,322431680675;[10];30,0;2;25;14
15;6617,990923888085;[10];30,0;2;25;15
16;5855,917549828827;[10];30,0;2;25;16
17;6490,290548456656;[10];30,0;2;25;17
18;3679,528896960884;[10];30,0;2;25;18
19;5202,484675821175;[10];30,0;2;25;19
20;6264,442448534189;[10];30,0;2;25;20
21;4136,809213265552;[10];30,0;2;25;21
22;6121,648117577361;[10];30,0;2;25;22
23;6479,501632941522;[10];30,0;2;25;23
24;6168,518970273287;[10];30,0;2;25;24
25;2193,1281298225936;[10];30,0;2;25;25
26;6114,686294516252;[10];30,0;2;25;26
27;5254,671473971401;[10];30,0;2;25;27
28;7755,928039001239;[10];30,0;2;25;28
29;6495,119465110383;[10];30,0;2;25;29
30;6364,095760864297;[10];30,0;2;25;30
31;3909,049872646354;[10];30,0;2;25;31
32;9154,341082214574;[10];30,0;2;25;32
33;8225,803106028923;[10];30,0;2;25;33
34;4916,427084097047;[10];30,0;2;25;34
35;4598,594327748753;[10];30,0;2;25;35
36;9502,239635760598;[10];30,0;2;25;36
37;7417,276046327016;[10];30,0;2;25;37
38;3728,2065135848347;[10];30,0;2;25;38
39;3974,026709185175;[10];30,0;2;25;39
40;6225,231460059173;[10];30,0;2;25;40
41;4091,66679960479;[10];30,0;2;25;41
42;8248,532377454936;[10];30,0;2;25;42
43;4409,3141317161535;[10];30,0;2;25;43
44;9351,789602233734;[10];30,0;2;25;44
45;5489,25928017774;[10];30,0;2;25;45
46;9048,590593640438;[10];30,0;2;25;46
47;3173,934835920666;[10];30,0;2;25;47
48;7726,222347400433;[10];30,0;2;25;48
49;9064,414620123867;[10];30,0;2;25;49
50;10196,99266315468;[10];30,0;2;25;50
51;4775,797245570329;[10];30,0;2;25;51
52;4615,930541939371;[10];30,0;2;25;52
53;3728,33115920801;[10];30,0;2;25;53
54;12372,064809252284;[10];30,0;2;25;54
55;8734,30860745236;[10];30,0;2;25;55
56;4626,775187392502;[10];30,0;2;25;56
57;5554,5087367912365;[10];30,0;2;25;57
58;3140,5431994183978;[10];30,0;2;25;58
59;7525,900675241517;[10];30,0;2;25;59
60;11097,98816851114;[10];30,0;2;25;60
61;6121,744521279109;[10];30,0;2;25;61
62;10543,492590779773;[10];30,0;2;25;62
63;6717,594256273607;[10];30,0;2;25;63
64;7332,362689890028;[10];30,0;2;25;64
65;3517,4083822669572;[10];30,0;2;25;65
66;6457,056956075265;[10];30,0;2;25;66
67;8604,76870466166;[10];30,0;2;25;67
68;4527,518260046159;[10];30,0;2;25;68
69;13849,277858871435;[10];30,0;2;25;69
70;3566,928787592118;[10];30,0;2;25;70
71;7298,510909630057;[10];30,0;2;25;71
72;7326,8120047026505;[10];30,0;2;25;72
73;5771,025964373518;[10];30,0;2;25;73
74;5831,272360450136;[10];30,0;2;25;74
75;5034,066024647316;[10];30,0;2;25;75
76;5932,678986722892;[10];30,0;2;25;76
77;6455,60362208626;[10];30,0;2;25;77
78;5073,5221918337975;[10];30,0;2;25;78
79;9580,231356514738;[10];30,0;2;25;79
80;5557,224406992221;[10];30,0;2;25;80
81;7788,046534661021;[10];30,0;2;25;81
82;5243,542992774401;[10];30,0;2;25;82
83;3753,079979753061;[10];30,0;2;25;83
84;3097,789088429756;[10];30,0;2;25;84
85;7008,939416131101;[10];30,0;2;25;85
86;5241,440980282908;[10];30,0;2;25;86
87;9891,661895127701;[10];30,0;2;25;87
88;6673,721387966917;[10];30,0;2;25;88
89;6275,893248794813;[10];30,0;2;25;89
90;2344,8272712256826;[10];30,0;2;25;90
91;7270,980872035464;[10];30,0;2;25;91
92;3418,810192290863;[10];30,0;2;25;92
93;10794,812833044873;[10];30,0;2;25;93
94;5109,538677794966;[10];30,0;2;25;94
95;3608,239271413128;[10];30,0;2;25;95
96;9776,568565468262;[10];30,0;2;25;96
97;4308,58369670852;[10];30,0;2;25;97
98;5575,556682669035;[10];30,0;2;25;98
99;3189,5043524735443;[10];30,0;2;25;99
100;6123,39272842117;[10];30,0;2;25;100
101;6390,074152070785;[10];30,0;2;25;101
102;2595,9915145716477;[10];30,0;2;25;102
103;3331,1070849922903;[10];30,0;2;25;103
104;6294,199135486432;[10];30,0;2;25;104
105;3358,271120145286;[10];30,0;2;25;105
106;4416,571229057285;[10];30,0;2;25;106
107;4809,9462669515415;[10];30,0;2;25;107
108;5553,761668890758;[10];30,0;2;25;108
109;4208,334571354193;[10];30,0;2;25;109
110;9327,568759707508;[10];30,0;2;25;110
111;9052,817239962314;[10];30,0;2;25;111
112;5867,82284428148;[10];30,0;2;25;112
113;8846,494007602703;[10];30,0;2;25;113
114;6716,143482649483;[10];30,0;2;25;114
115;4670,672982346795;[10];30,0;2;25;115
116;5654,595456225511;[10];30,0;2;25;116
117;8786,435119247382;[10];30,0;2;25;117
118;4490,9921317546205;[10];30,0;2;25;118
119;6381,007642847269;[10];30,0;2;25;119
120;11010,714731287631;[10];30,0;2;25;120
121;6398,009821566974;[10];30,0;2;25;121
122;11050,349515491502;[10];30,0;2;25;122
123;8877,5187026732;[10];30,0;2;25;123
124;7130,795199383341;[10];30,0;2;25;124
125;7559,472491748252;[10];30,0;2;25;125
126;4355,501896794507;[10];30,0;2;25;126
127;8330,005694280673;[10];30,0;2;25;127
128;7961,009090108234;[10];30,0;2;25;128
129;5804,474917420097;[10];30,0;2;25;129
130;5572,5445901022895;[10];30,0;2;25;130
131;4660,22103821925;[10];30,0;2;25;131
132;4036,8803091348227;[10];30,0;2;25;132
133;9515,503823589459;[10];30,0;2;25;133
134;7995,233792639926;[10];30,0;2;25;134
135;8174,0614234230825;[10];30,0;2;25;135
136;7092,573518716856;[10];30,0;2;25;136
137;4715,353544842955;[10];30,0;2;25;137
138;4635,894729103267;[10];30,0;2;25;138
139;4512,756786252071;[10];30,0;2;25;139
140;13207,754136644848;[10];30,0;2;25;140
141;11675,69911182538;[10];30,0;2;25;141
142;6877,09156880912;[10];30,0;2;25;142
143;8111,542717769713;[10];30,0;2;25;143
144;3752,3925063642037;[10];30,0;2;25;144
145;7491,886411637179;[10];30,0;2;25;145
146;6322,58321630982;[10];30,0;2;25;146
147;3661,1411054023365;[10];30,0;2;25;147
148;15669,02065044558;[10];30,0;2;25;148
149;10245,555365803242;[10];30,0;2;25;149
150;5379,508720056916;[10];30,0;2;25;150
151;4036,7018135270273;[10];30,0;2;25;151
152;6198,605615433469;[10];30,0;2;25;152
153;6952,599554111002;[10];30,0;2;25;153
154;4616,50044892388;[10];30,0;2;25;154
155;8594,281653797087;[10];30,0;2;25;155
156;8718,80509822692;[10];30,0;2;25;156
157;7486,7629238402;[10];30,0;2;25;157
158;7554,00734683922;[10];30,0;2;25;158
159;7962,511154920761;[10];30,0;2;25;159
160;13374,153712254101;[10];30,0;2;25;160
161;8461,047493860062;[10];30,0;2;25;161
162;5590,068696616289;[10];30,0;2;25;162
163;13263,006153132603;[10];30,0;2;25;163
164;4157,647133434291;[10];30,0;2;25;164
165;6486,431142399641;[10];30,0;2;25;165
166;7360,900003936263;[10];30,0;2;25;166
167;5044,238512793864;[10];30,0;2;25;167
168;5503,514183009991;[10];30,0;2;25;168
169;6605,747079821306;[10];30,0;2;25;169
170;6933,498900319086;[10];30,0;2;25;170
171;5812,949918585436;[10];30,0;2;25;171
172;8109,248064018004;[10];30,0;2;25;172
173;8138,701722575061;[10];30,0;2;25;173
